TOTAL           105437
sale                 I2.2                 9 
milk                 F2                   9 
selling              I2.2                 9 
listed               Q1.2                 9 
boys                 S2.2                 9 
panel                S5+                  9 
feet                 B1                   9 
leg                  B1                   9 
Armani               Z1                   9 
dresses              B5                   9 
soleplate            Z99                  9 
leaking              A1.7-                9 
blended              A2.1+                9 
beginner             T2+                  9 
exercises            K5.1                 9 
knock-off            Z99                  9 
dolls                K6                   9 
Bambin_Anna          Z1                   9 
bee                  L2                   9 
fierce               E3-                  8 
by_far               A13.3                8 
collection           A9+                  8 
worry                E6-                  8 
description          Q2.2                 8 
pricey               I1.3+                8 
in_stock             A9+                  8 
knew                 X2.2+                8 
packaging            O2                   8 
major                A11.1+               8 
along_with           Z5                   8 
nor                  Z6                   8 
four                 N1                   8 
final                N4                   8 
cholesterol          O1                   8 
levels               N3.7                 8 
workout              K5.1                 8 
unlike               Z5                   8 
nutrigold            Z99                  8 
additional           N5++                 8 
thank_you            Z4                   8 
got_it               X2.5+                8 
college              P1                   8 
cover                A10-                 8 
friends              S3.1                 8 
contents             A1.8+                8 
looking              A8                   8 
soon                 T1.1.3               8 
changes              A2.1+                8 
ii                   N1                   8 
AF                   Z99                  8 
perhaps              A7                   8 
ISO                  Z99                  8 
guys                 S2.2                 8 
capable              X9.1+                8 
feels_like           X7+                  8 
shooting             G3                   8 
compatible           A6.1+                8 
limited              A1.7+                8 
considering          X2.1                 8 
young                T3-                  8 
track                M3                   8 
biggest              N3.2+++              8 
dead                 L1-                  8 
equipment            O2                   8 
intended             X7+                  8 
wanting              X7+                  8 
below                M6                   8 
arm                  B1                   8 
oh                   Z4                   8 
slower               N3.8-                8 
stuck                M2                   8 
high-end             I1.3+                8 
particularly         A13.3                8 
alone                S5-                  8 
crappy               A5.1-                8 
series               N4                   8 
backup               S8+                  8 
premium              I1.1                 8 
inch                 N3.7                 8 
flawlessly           B4                   8 
connects             A2.2                 8 
intuitive            X2                   8 
adequate             N5+                  8 
protection           S8+                  8 
occasional           N6-                  8 
lap                  B1                   8 
emails               Q1.3                 8 
updates              T1.1.2               8 
losing               X9.2-                8 
so_that              Z5                   8 
hopefully            X2.6+                8 
boots                E3-                  8 
worried              E6-                  8 
thrilled             E4.1+++              8 
lasted               T2++                 8 
view                 X2.1                 8 
has_to               S6+                  8 
directions           M6                   8 
hook_up              S5+                  8 
notebook             Q1.2                 8 
ugly                 O4.2-                8 
background           T1.1.1               8 
create               A1.1.1               8 
VPN                  Z99                  8 
minute               T1.3                 8 
leaving              M1                   8 
pleasantly           O4.2+                8 
giving               A9-                  8 
at_a_time            T1.1.2               8 
feel_like            X7+                  8 
data                 X2.2                 8 
lag                  G2.1-                8 
on_top_of            M6                   8 
in_terms_of          Z5                   8 
expecting            X2.6+                8 
rather               A13.5                8 
regarding            Z5                   8 
student              P1                   8 
win                  X9.2+                8 
startup              T2+                  8 
coming_from          M6                   8 
handy                A1.5.2+              8 
action               A1.1.1               8 
variety              A6.3+                8 
upper                M6                   8 
lose                 X9.2-                8 
apparently           A8                   8 
form                 A4.1                 8 
usage                Q3                   8 
conclusion           X6+                  8 
20                   N1                   8 
onto                 Z5                   8 
amazon               S2.1                 8 
headphone            K3                   8 
star                 W1                   8 
sized                N3.2                 8 
plays                K1                   8 
dedicated            X5.2+                8 
loving               E2+                  8 
disc                 O4.4                 8 
together             S5+                  8 
hated                E2-                  8 
nice_and             A13.3                8 
put_together         A1.1.1               8 
motion               M1                   8 
jack                 O2                   8 
40                   N1                   8 
pesto                F1                   8 
grinding             A5.1-                8 
mixing               A2.1+                8 
coffee               F2                   8 
chop                 A1.1.1               8 
AMAZON.com           Z3                   8 
wedge                O2                   8 
Adidas               Z3                   8 
painted              C1                   8 
transforms           A2.1+                8 
officially           G1.1                 7 
somewhat             A13.6                7 
became               A2.1+                7 
sizes                N3.2                 7 
d                    Z5                   7 
incredible           A6.2-                7 
rate                 N3.8                 7 
got                  M1                   7 
tested               P1                   7 
skin                 B1                   7 
loose                A1.7-                7 
men                  S2.2                 7 
beginning            T2+                  7 
begin                T2+                  7 
aid                  S8+                  7 
lower                M2                   7 
appear               A8                   7 
tool                 O2                   7 
newer                T3--                 7 
bonus                I1.1+                7 
benefits             S8+                  7 
response             Q2.1                 7 
required             X7+                  7 
protein              O1                   7 
versions             A4.1                 7 
balance              O4.1                 7 
formula              Y1                   7 
normally             A6.2+                7 
for_example          Z5                   7 
too_many             N5.2+                7 
above                M6                   7 
a_little_bit         A13.6                7 
stock                A9+                  7 
facebook             Z3                   7 
$300                 Z99                  7 
budget               I1                   7 
continue             T2++                 7 
answer               Q2.2                 7 
experienced          A2.1+                7 
appears              A8                   7 
second               T1.3                 7 
iii                  N1                   7 
lenses               B1                   7 
at_the_time          T1.1.1               7 
wildlife             L2                   7 
paying               I1.2                 7 
vs                   F2                   7 
comparing            A6.1                 7 
brilliant            A5.1+++              7 
film                 Q4.3                 7 
chip                 F1                   7 
constantly           T2++                 7 
speak                Q2.1                 7 
manual               A1.1.1               7 
exposure             A15-                 7 
current              T1.1.2               7 
accurate             A5.3+                7 
upgrades             A11.1+               7 
moving               M2                   7 
dark                 W2-                  7 
get                  A2.2                 7 
even_if              Z7                   7 
slight               N5-                  7 
viewfinder           A10+                 7 
EVF                  Z99                  7 
replacing            A2.1+                7 
decide               X6+                  7 
frustrating          E4.2-                7 
edge                 O2                   7 
suddenly             N3.8+                7 
went_with            A6.1+                7 
wondering            X2.1                 7 
likely               A7+                  7 
away_from            M6                   7 
capabilities         X9.1+                7 
comes_to             A4.1                 7 
x20                  Z99                  7 
go_with              A6.1+                7 
built-in             O4.1                 7 
latest               T3---                7 
images               O4.1                 7 
except               Z5                   7 
include              A1.8+                7 
no_way               Z6                   7 
damage               A1.1.2               7 
key                  A11.1+               7 
automatically        O2                   7 
websites             Y2                   7 
connected            A2.2                 7 
charges              I1.3                 7 
meant                Q1.1                 7 
dust                 O1.1                 7 
level                N3.7                 7 
impressive           O4.2+                7 
heavier              N3.5+                7 
lacks                A9-                  7 
students             P1                   7 
turned               M2                   7 
showed               A10+                 7 
open_up              A10+                 7 
identical            A6.1+++              7 
now_that             Z5                   7 
recovery             B2+                  7 
class                P1                   7 
lack                 A9-                  7 
rarely               N6-                  7 
netbook              Z99                  7 
non-retina           Z99                  7 
stated               Q2.1                 7 
includes             A1.8+                7 
bargain              I1.3-                7 
following            N4                   7 
cleaning             B4                   7 
convert              A2.1+                7 
television           Q4.3                 7 
geek                 X9.1++               7 
lemon                F1                   7 
expectations         X2.6+                7 
downside             S8-                  7 
learning             X2.3+                7 
according_to         Z5                   7 
thinner              N3.7--               7 
at_the_same_time     T1.1.2               7 
pages                Q1.2                 7 
boot                 B5                   7 
getting              M1                   7 
2nd                  N4                   7 
across               Z5                   7 
dream                X4.1                 7 
cracked              A1.1.2               7 
inside               Z5                   7 
practice             A1.1.1               7 
mom                  S4                   7 
drop                 M2                   7 
plugged              O3                   7 
amazingly            X2.6-                7 
right_away           N3.8+                7 
go_wrong             X9.2-                7 
shows                A8                   7 
based                T2+                  7 
breeze               W4                   7 
opened               A1.1.1               7 
Macbooks             Z99                  7 
store                A9+                  7 
gym                  K5.1                 7 
asus                 Z99                  7 
perform              A1.1.1               7 
sweet                X3.1                 7 
every_day            N6+                  7 
fill                 N5.1+                7 
warm                 O4.6+                7 
correct              A5.3+                7 
glossy               O4.5                 7 
bootcamp             Z99                  7 
fans                 S2                   7 
fluid                O1.2                 7 
heat                 O4.6+                7 
mac                  B5                   7 
operate              A1.1.1               7 
afraid               E5-                  7 
all_the_way          N5.1+                7 
take_up              A9+                  7 
equalizer            K3                   7 
tube                 O2                   7 
front                M6                   7 
soft                 O4.5                 7 
okay                 Z4                   7 
site                 M7                   7 
u                    Z5                   7 
mess                 O4.2-                7 
ends                 T2-                  7 
upset                E4.1-                7 
shaft                O2                   7 
wash                 B4                   7 
driving              N5+++                7 
padding              O4.1                 7 
sellers              I2.2                 7 
crown                B5                   7 
pictured             X2.1                 7 
age                  T3                   7 
transformation       A2.1+                7 
fell_off             M1                   7 
younger              T3--                 7 
nephew               S4                   7 
fresh                T3-                  6 
wear                 B5                   6 
middle               M6                   6 
2-3                  N1                   6 
1/2                  N1                   6 
regret               E4.1-                6 
crazy                B2-                  6 
lol                  E4.1+                6 
discount             I1.3-                6 
truly                A5.2+                6 
warning              X2.2+                6 
gotten               A9+                  6 
hard_time            A12-                 6 
finding              A10+                 6 
've                  A9+                  6 
choose               X7+                  6 
crisp                O4.5                 6 
waited               T1.3                 6 
24                   N1                   6 
sensitive            X2.5+                6 
mainly               A13.2                6 
burps                S1.2.4-              6 
below                Z5                   6 
label                Q1.2                 6 
further              N5++                 6 
oils                 O1.2                 6 
content              Q2.1                 6 
improvements         A5.1+                6 
last_year            T1.1.1               6 
total                A13.2                6 
numbers              N5                   6 
points               Q2.1                 6 
like                 Z4                   6 
come_back            M1                   6 
beyond               Z5                   6 
strongly             A13.3                6 
shape                O4.4                 6 
in_the_past          T1.1.1               6 
concern              E6-                  6 
receive              A9+                  6 
get_back             A9+                  6 
sort                 A4.1                 6 
typically            A6.2+                6 
tend                 A6.2+                6 
not_a_big_deal       A11.1-               6 
least                A13.7                6 
waste_of_money       I1.2                 6 
prescription         B3                   6 
looking_to           X7+                  6 
caps                 B5                   6 
800                  N1                   6 
contacted            Q2.2                 6 
few_years_ago        T1.1.1               6 
suggested            Q2.2                 6 
consumer             I2.2                 6 
over                 N5.2+                6 
happen               A2.1+                6 
recent               T3-                  6 
flash                O4.3                 6 
offered              A9-                  6 
photography          C1                   6 
virtually            A13.4                6 
mirrorless           Z99                  6 
drops                O1.2                 6 
face                 B1                   6 
looks_good           A5.1+                6 
talk                 Q2.1                 6 
inferior             S7.1--               6 
concerned            E6-                  6 
tools                O2                   6 
requires             X7+                  6 
award                A5.1+                6 
refresh              B2+                  6 
surprise             X2.6-                6 
gps                  B3                   6 
paper                Q4.2                 6 
shadows              O4.3                 6 
tells                Q2.2                 6 
rather               Z4                   6 
pushing              M2                   6 
result               A2.2                 6 
mini                 M3                   6 
as_much_as           A13.4                6 
granted              A9+                  6 
look_like            A6.1+                6 
as_it_is             Z4                   6 
gives                A9-                  6 
general              N5+                  6 
holding              M2                   6 
fortunately          A1.4+                6 
stopped              T2-                  6 
somehow              X4.2                 6 
exercise             K5.1                 6 
inside               M6                   6 
useless              A1.5.2-              6 
buyers               I2.2                 6 
environment          W5                   6 
folks                S2                   6 
pleasure             E4.2+                6 
controls             S7.1+                6 
seeing               X3.4                 6 
logo                 C1                   6 
luck                 A1.4                 6 
way                  A13.3                6 
pick                 X7+                  6 
mind                 E6+                  6 
screens              Y2                   6 
quiet                X3.2-                6 
managed              S7.1+                6 
louder               X3.2++               6 
casual               S1.2.1+              6 
came_out             M1                   6 
concept              X4.1                 6 
at_once              N3.8+                6 
sleep                B1                   6 
manufacturers        A1.1.1               6 
window               H2                   6 
campus               M7                   6 
reasonable           S1.2.6+              6 
close_to             A13.4                6 
pdf                  Z3                   6 
format               O4.1                 6 
security             G2.1                 6 
questions            Q2.2                 6 
essentially          S6+                  6 
drank                F2                   6 
Google_Kool          Z1                   6 
2014                 N1                   6 
brother              S4                   6 
invest               I1.1                 6 
information          X2.2+                6 
just_about           A13.4                6 
installing           A1.1.1               6 
adjusting            A2.1+                6 
a_little_bit         N5-                  6 
policy               X7+                  6 
finish               T2-                  6 
function             A1.5.1               6 
bunch                N5+                  6 
in_love              S3.2                 6 
detailed             A4.2+                6 
delicate             O4.2+                6 
flimsy               O4.1                 6 
unacceptable         X7-                  6 
special              A4.2+                6 
webcam               Y2                   6 
condition            O4.1                 6 
tab                  O2                   6 
minimal              N5---                6 
lightweight          K5.1                 6 
numerous             N5+                  6 
multi                N5+                  6 
honor                G2.2+                6 
light_weight         A11.1-               6 
Friday               T1.3                 6 
hardly               A13.7                6 
weird                A6.2-                6 
trick                G2.2-                6 
advice               Q2.2                 6 
looks_great          A5.1+                6 
ecosystem            W5                   6 
ghz                  Z5                   6 
HDD                  Z99                  6 
USB_3.0              Z2                   6 
friendly             K5.1                 6 
improve              A5.1+                6 
cards                Q1.2                 6 
transition           A2.1+                6 
happened             A2.1+                6 
solved               X9.2+                6 
stuck                A1.7+                6 
navigate             M6                   6 
words                Q3                   6 
zero                 N1                   6 
claims               Q2.2                 6 
unibody              Z99                  6 
refurbished          H5                   6 
firewire             Z99                  6 
newly                T3-                  6 
crucial              A11.1+               6 
ios                  A4.1                 6 
GPU                  Z99                  6 
sides                A4.1                 6 
i_mean               Z4                   6 
complicated          A12-                 6 
cables               O3                   6 
applecare            Z99                  6 
manufacturer         A1.1.1               6 
move_around          M1                   6 
dollars              I1                   6 
elsewhere            M6                   6 
cds                  K3                   6 
powered              A1.1.1               6 
authorized           S7.4+                6 
risk                 A15-                 6 
simplicity           A12+                 6 
frequencies          N6                   6 
turn_on              A1.1.1               6 
amazonbasics         Z99                  6 
TVs                  Q4.3                 6 
broken               A1.1.2               6 
shirt                B5                   6 
cheese               F1                   6 
grind                A1.1.1               6 
chunks               N5                   6 
rack                 O2                   6 
yogurt               F1                   6 
assembly             S5+                  6 
ninja                G2.2-                6 
chopping             A1.1.1               6 
mugs                 O2                   6 
blenders             O2                   6 
vitamix              Z99                  6 
burning              O4.6+                6 
strawberries         F1                   6 
kid                  S2                   6 
zenfone              Z99                  6 
flip                 A1.1.1               6 
holes                O2                   6 
woods                O1.1                 6 
golfers              K5.1                 6 
rogue                G2.2-                6 
shown                A10+                 6 
knockoff             A6.1+                6 
grandson             S4                   6 
bumble               Z3                   6 
100%                 N5.1+                5 
Mont_Blanc           Z2                   5 
man                  S2.2                 5 
colognes             B4                   5 
stays                M8                   5 
packaged             A1.1.1               5 
smelled              X3.5                 5 
Abercrombie          Z99                  5 
moderate             N5                   5 
sells                I2.2                 5 
guarantee            A7+                  5 
lighter              W2                   5 
attention            X5.1+                5 
morning              T1.3                 5 
you_know             Z4                   5 
will                 Z1                   5 
dad                  S4                   5 
weak                 S1.2.5-              5 
number               N5                   5 
durability           O4.1                 5 
importantly          A11.1+               5 
due                  X2.6+                5 
all_day              T1.3+                5 
opening              A1.1.1               5 
welcome              Q2.2                 5 
came_back            M1                   5 
deliver              M2                   5 
feel                 E1                   5 
one_star             A5.1                 5 
supplements          N5++                 5 
aftertaste           X3.1                 5 
essential            S6+                  5 
mg                   Z3                   5 
capsule              O2                   5 
soy                  F1                   5 
natural              A6.2+                5 
processed            A1.1.1               5 
helped               S8+                  5 
reports              Q2.2                 5 
absolute             A5.1+++              5 
happier              E4.1++               5 
clarity              A10+                 5 
nervous              E6-                  5 
after_taste          X3.1                 5 
buyer                I2.2                 5 
i_say                Z4                   5 
effect               A2.2                 5 
question             Q2.2                 5 
buck                 I1                   5 
reviewer             Q4                   5 
specifically         A4.2+                5 
gone                 M1                   5 
accessories          O2                   5 
task                 A1.1.1               5 
dynamic              X5.2+                5 
pixel                Y2                   5 
test                 P1                   5 
closer               N3.3--               5 
indeed               A13.3                5 
DPR                  Z99                  5 
autofocus            X3.4                 5 
unfortunately        A1.4-                5 
d750                 Z99                  5 
weights              N3.5                 5 
32gb                 Z99                  5 
view                 X4.1                 5 
field                F4                   5 
mention              Q2.1                 5 
sit                  M8                   5 
till                 Z5                   5 
confused             X2.5-                5 
source               T2+                  5 
acceptable           A5.1+                5 
envy                 S1.2.2+              5 
silver               O1.1                 5 
look_good            A5.1+                5 
post                 Q1.2                 5 
snap                 A1.1.2               5 
out_of_it            X3-                  5 
editor               Q4                   5 
complained           Q2.2                 5 
fair                 G2.2+                5 
zoom                 N3.3+                5 
constant             T2++                 5 
b/c                  Z5                   5 
overall              B5                   5 
ergonomics           Y1                   5 
sufficient           N5                   5 
any                  A13.3                5 
turns_out            A1.1.1               5 
steal                G2.1-                5 
adjust               A2.1+                5 
dial                 O2                   5 
exceptional          A6.2-                5 
account              I1                   5 
lovely               O4.2+                5 
albeit               Z5                   5 
live                 H4                   5 
needing              S6+                  5 
Ill                  B2-                  5 
mp                   G1.1                 5 
x100s                Z99                  5 
this                 A13.3                5 
depending_on         A2.2                 5 
no_matter_what       A7+++                5 
agree                A6.1+                5 
handling             A1.1.1               5 
fault                A5.3-                5 
behind               Z5                   5 
ebay                 Z3                   5 
i_bet                Z4                   5 
deep                 N3.7+                5 
records              Q1.2                 5 
kindle               T2+                  5 
wont                 A6.2+                5 
hook                 A9+                  5 
transfer             M6                   5 
saves                I1.1                 5 
virus                L2                   5 
sitting              M8                   5 
washed_out           B4                   5 
modern               T3-                  5 
cause                A2.2                 5 
Haswell              Z99                  5 
charger              O3                   5 
noisy                X3.2+                5 
bulky                N3.2+                5 
moved                M2                   5 
costs                I1.3                 5 
social               S1.1.1               5 
in_case              A1.3+                5 
skeptical            A5.1-                5 
period               T1.3                 5 
ChromeOS             Z99                  5 
for_a_while          T1.3                 5 
specific             A4.2+                5 
comes_out            M1                   5 
ten                  N1                   5 
scroll               M2                   5 
hitting              E3-                  5 
turn_off             A1.1.1               5 
matte                O1.1                 5 
crashes              A1.1.2               5 
safe                 A15+                 5 
word_processing      Y2                   5 
upload               Y2                   5 
surprising           X2.6-                5 
creating             A1.1.1               5 
spreadsheets         Y2                   5 
occasionally         N6-                  5 
iwork                Z99                  5 
failure              X9.2-                5 
failed               X9.2-                5 
difficulty           A12-                 5 
kit                  O2                   5 
consideration        X2.1                 5 
permalink            Z99                  5 
up_and_running       A1.1.1               5 
updating             T1.1.2               5 
keeping              A9+                  5 
affordable           I1.3-                5 
ahead_of             N4                   5 
disappointing        E4.2-                5 
switched             A2.1+                5 
boom                 N5++                 5 
backlight            O3                   5 
nexus                A2.2                 5 
shorter              T1.3                 5 
application          Q1.2                 5 
'd                   Z5                   5 
ips                  Y2                   5 
2.0                  N1                   5 
functions            A1.5.1               5 
learning_curve       X2.3+                5 
stream               W3                   5 
9                    N1                   5 
instantly            N3.8+++              5 
blow                 A1.1.1               5 
to_be_honest         Z4                   5 
stream               N5+                  5 
capability           X9.1+                5 
pair                 N5                   5 
follow               M1                   5 
cd/dvd_drive         Z2                   5 
lock                 A1.7+                5 
arrow                G3                   5 
few_times            N6+                  5 
automatic            A1.1.1               5 
platform             M3                   5 
usual                A6.2+                5 
consumers            I2.2                 5 
saved                I1.1                 5 
$50                  Z99                  5 
capacity             N3.2                 5 
hesitate             A7-                  5 
tag                  Q1.2                 5 
load                 N5+                  5 
HDTV                 Q4.3                 5 
alright              A5.1+                5 
adding               N5+                  5 
next_day             T1.1.3               5 
leaves               M1                   5 
cloth                B5                   5 
k1                   Z99                  5 
***                  Z99                  5 
talking              Q2.1                 5 
straight             O4.4                 5 
written              Q1.2                 5 
closed               A1.1.1               5 
cut                  Z2                   5 
foot                 B1                   5 
college_student      P1                   5 
clock                O2                   5 
by_the_way           Z4                   5 
Wi-Fi                Q4.3                 5 
reach                M1                   5 
systems              X4.2                 5 
shaped               O4.4                 5 
streak               N5                   5 
screws               O2                   5 
watts                N3.1                 5 
aware                X2.2+                5 
correctly            A5.3+                5 
integrated           A1.8+                5 
knowing              X2.2+                5 
early                T4+                  5 
eyes                 B1                   5 
-the                 Z99                  5 
gorgeous             O4.2+                5 
maximum              N5.1+                5 
frequently           N6+                  5 
Mac_OSX              Z1                   5 
switching            A2.1+                5 
manual               Q4.1                 5 
looks_beautiful      O4.2+                5 
end_up               T2-                  5 
rubber               O1.1                 5 
desk                 H5                   5 
well                 B2+                  5 
4000                 N1                   5 
disadvantage         A5.1-                5 
unable               X9.1-                5 
1600mhz              Z99                  5 
throw                M2                   5 
story                Q2.1                 5 
merchandise          I2.2                 5 
the_bottom_line      A4.2+                5 
hey                  Z4                   5 
scratch              B2-                  5 
allowed              S7.4+                5 
removed              M2                   5 
wire                 O2                   5 
extended             T1.3+                5 
parallels            A6.1+                5 
learned              X2.3+                5 
night                T1.3                 5 
shocked              E5-                  5 
on_sale              I2.2                 5 
garage               M3                   5 
maker                A1.1.1               5 
5                    T3                   5 
freezing             O4.6-                5 
vinyl                O1.1                 5 
stereo               K3                   5 
bananas              F1                   5 
gap                  N3.3                 5 
asking               Q2.2                 5 
goal                 K5.1                 5 
scenes               K4                   5 
band                 K2                   5 
delivered            M2                   5 
exact                A5.3+                5 
wattage              O3                   5 
sets                 N5                   5 
turning              M2                   5 
Walmart              Z99                  5 
rear                 M6                   5 
next_to              Z5                   5 
cheaply              I1.3-                5 
sand                 O1.1                 5 
looked_at            X3.4                 5 
ur                   Z4                   5 
handbag              B5                   5 
in_the_way           M6                   5 
height               N3.7                 5 
fabric               B5                   5 
plate                O2                   5 
iron                 B4                   5 
espresso             F2                   5 
salad                F1                   5 
dishwasher           O3                   5 
microwave            O3                   5 
counter              H5                   5 
vessel               M4                   5 
spices               F1                   5 
pulsing              M1                   5 
crush                A1.1.2               5 
mug                  O2                   5 
flax_seed            L3                   5 
dollar               I1                   5 
burn_out             O4.6-                5 
ridges               W3                   5 
rolex                Z99                  5 
gorilla              L2                   5 
mobile               O2                   5 
6+                   Z99                  5 
swing                M1                   5 
beginners            T2+                  5 
dent                 O4.4                 5 
grips                A1.1.1               5 
credit               I1.1                 5 
benches              H5                   5 
knock-offs           A6.1+                5 
third-party          S1.1.3-              5 
braid                B5                   5 
figures              N5                   5 
wheel                O2                   5 
smelling             X3.5                 4 
Macy                 Z99                  4 
fabulous             A5.1+++              4 
classy               O4.2+                4 
prior_to             N4                   4 
nose                 B1                   4 
followed             M1                   4 
deeply               A13.3                4 
go_out               M1                   4 
generally            A6.2+                4 
authentic            A5.4+                4 
it.                  Y2                   4 
all_over             N5.1+                4 
off_of               Z5                   4 
headache             B2-                  4 
ran                  M1                   4 
loves                S3.2                 4 
place                M2                   4 
matter               X4.1                 4 
cap                  B5                   4 
mature               T3+                  4 
dissatisfied         E4.2-                4 
anyways              Z4                   4 
brick                O2                   4 
rotate               M2                   4 
appeal               Q2.1                 4 
wearing              B5                   4 
relatively           A13                  4 
doctor               B3                   4 
blood_pressure       B1                   4 
combined             A2.2                 4 
experience           A2.1+                4 
swallow              B1                   4 
strength             S1.2.5+              4 
fatty                O1                   4 
acids                O1                   4 
high_quality         A5.1+                4 
total                Z3                   4 
purified             B4                   4 
contains             A1.8+                4 
remove               M2                   4 
eating               F1                   4 
supplement           N5++                 4 
couple               N5+                  4 
on_time              T4                   4 
minimum              N5---                4 
amounts              N5                   4 
explain              Q2.2                 4 
doubt                A7-                  4 
pics                 C1                   4 
Lovaza               Z99                  4 
proud                E4.2+                4 
mediocre             A5.1                 4 
ratio                N2                   4 
2                    T3                   4 
determined           A2.2                 4 
+                    Z5                   4 
joints               B1                   4 
saver                I1.1                 4 
measure              N3.1                 4 
accept               A9+                  4 
primary              A11.1+               4 
DSLR                 Z99                  4 
landscape            W3                   4 
lesser               N3.2-                4 
$600                 Z99                  4 
rates                N3.8                 4 
focusing             X5.1+                4 
w/                   Z99                  4 
gon                  T1.1.3               4 
na                   Z5                   4 
shots                G3                   4 
details              A4.2+                4 
somewhere            M6                   4 
late                 T4-                  4 
reasonably           A13.5                4 
described            Q2.2                 4 
horizontal           O4.4                 4 
Toshiba              Z3                   4 
i_agree              Z4                   4 
complex              A12-                 4 
sensors              O3                   4 
brought              M2                   4 
aperture             O2                   4 
area                 M7                   4 
out                  Z5                   4 
matter               A11.1+               4 
buffer               M3                   4 
your_own             Z8                   4 
weather              W4                   4 
hi                   Z4                   4 
wifi                 Z99                  4 
yeah                 Z4                   4 
some_time            T1.2                 4 
differences          A6.1-                4 
